,gene,mip_case,mip_case_lof,mip_case_mis30,exac_lof,exac_mis30,Fisher_LGDp,Fisher_MIS30p,Fisher_LGDq,Fisher_MIS30q
42,NCOR1,19538,7,28,10,33,0.227521917884926,0.00662411167401177,0.389592325145421,0.0828013959251471
43,PHF7,19538,9,3,6,6,0.0155769894475625,0.539797222197702,0.0442528109305753,0.725533900803363
44,SHANK2,19538,15,8,24,10,0.166872697339817,0.142786744853592,0.317154668654243,0.35696686213398
45,SIN3A,19538,8,12,0,20,6.72819762504638e-05,0.232048755462549,0.000646942079331383,0.467840232787397
46,KMT5B,19538,7,8,1,2,0.00131780143939768,0.00162738590076472,0.0073809106712351,0.0336987771375388
47,UIMC1,19538,12,0,19,2,0.195738288975162,1,0.339823418359656,1
48,ASXL3,19077,11,3,2,7,6.32084236326538e-05,0.606441966739473,0.000646942079331383,0.773522916759532
49,CACNA2D3,19077,5,20,4,37,0.0939472500462098,0.220300475411724,0.189409778318971,0.461310891785821
50,ILF2,19077,1,0,2,3,0.651068065059433,1,0.782533732042588,1
51,KMT2A,19077,13,29,3,42,2.85698597353659e-05,0.0282185453038221,0.000357123246692074,0.153361659259903
52,MYT1L,19077,7,10,2,17,0.00393917528013211,0.257074914935181,0.0169792037936729,0.489576868884295
53,NR2E3,19077,2,0,2,0,0.341219755228811,1,0.494009550238669,1
54,NRXN1,19077,7,24,4,33,0.0200320592890956,0.029876963957746,0.0532767534284457,0.155609187279927
55,PASK,19077,41,9,50,12,0.0012803655869745,0.138148442228623,0.0073809106712351,0.352419495481181
56,NSD2,19077,3,8,4,16,0.343830646966114,0.418163577808467,0.494009550238669,0.629764424410342
57,ZMYM2,19077,11,4,5,5,0.00138271734107117,0.261196412135834,0.0073809106712351,0.489576868884295
58,ZNF292,19077,9,0,5,6,0.00751520890715434,1,0.0253892192809268,1
59,SETD2,18374,8,7,9,20,0.0856319800582898,0.699011736203984,0.18427276428181,0.856632029661745
60,MYH9,18065,1,33,3,108,0.738297179255474,0.925795570311822,0.85451062413828,1
61,WNT7B,18065,2,5,6,10,0.713375179255205,0.431879118786749,0.84124431515944,0.642677260099329
62,WNT9A,18065,0,5,0,9,1,0.366206642323727,1,0.586869619108537
63,ADAP1,16294,2,0,2,7,0.285912891428428,1,0.425465612244685,1
64,AGO3,16294,0,1,1,7,1,0.914109076326931,1,1
65,AHDC1,16294,3,4,1,14,0.0591513880673873,0.74044798191159,0.134434972880426,0.889961516720661
66,ARID2,16294,4,4,5,5,0.1932517068565,0.1932517068565,0.339823418359656,0.423797602755483
67,BRAF,16294,1,11,2,7,0.601664332338754,0.00202983116399143,0.730175160605284,0.0336987771375388
68,BRPF1,16294,5,13,2,27,0.0164749830269764,0.239734426493038,0.0457638417416011,0.475320150271658
69,CASZ1,16294,2,28,4,56,0.49945500761172,0.0964256147548911,0.664168893100691,0.30537186825972
70,CDK13,16294,4,6,10,13,0.528166597516774,0.386759000086449,0.680627058655637,0.605407550182845
71,CHAMP1,16294,6,1,1,1,0.00184093776531675,0.458620268141805,0.00869301391712366,0.644129590086805
72,CLTC,16294,4,11,3,15,0.0844108506044823,0.057733953385252,0.18427276428181,0.237634330268197
73,CNKSR2,16294,1,2,4,2,0.784356677572758,0.285912891428428,0.89131440633268,0.489576868884295
74,CSNK2A1,16294,5,2,3,3,0.0344221358226167,0.397147352919946,0.0827455188043671,0.605407550182845
75,CTCF,16294,3,8,1,5,0.0591513880673873,0.00810850930711028,0.134434972880426,0.0858655170044223
76,DDX23,16294,2,7,5,6,0.589787835362275,0.0325739561379067,0.730175160605284,0.162869780689534
77,DLX3,16294,0,3,2,9,1,0.652071755541949,1,0.815089694427436
78,DNM1,16294,4,10,3,15,0.0844108506044823,0.0977189978431105,0.18427276428181,0.30537186825972
